master_person_id,first_name,last_name,title,engagement_score,recency_score,profile_fit_score,account_score,readiness_score,score_percentile,priority_tier,readiness_band,score_breakdown_json,eligibility_status,structural_block_flag,top_positive_reasons,top_negative_reasons
MP00000000000047,Jacqueline,Nelson,,15.0,6.0,6.86,4.01,31.87,35.01,Cold,Low,"{""engagement"": 15.0, ""recency"": 6.0, ""profile"": 6.86, ""account"": 4.01}",Eligible,False,Strong buying-committee activity at account,Data gap: missing title field
MP00000000000048,Leslie,Adams,Information Security Manager,0.0,0.0,2.86,4.86,7.72,7.58,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 2.86, ""account"": 4.86}",Blocked,True,None,"Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence)"
MP00000000000049,Jeffrey,Lawrence,SecOps Manager,0.0,0.0,2.86,2.98,5.84,4.9,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 2.86, ""account"": 2.98}",Eligible,False,Strong buying-committee activity at account,"Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence)"
MP00000000000050,Bonnie,Kennedy,,10.0,25.0,2.29,3.52,40.81,50.18,Monitor,Medium,"{""engagement"": 10.0, ""recency"": 25.0, ""profile"": 2.29, ""account"": 3.52}",Eligible,False,"Attended premium Event campaign, Hot recency: engaged within past 7 days, Strong buying-committee activity at account","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000051,Robert,Soto,Information Security Manager,0.0,0.0,9.43,5.22,14.65,18.09,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 9.43, ""account"": 5.22}",Eligible,False,"Strong buying-committee activity at account, High profile completeness","Zero response history (passive sends only), Individual contributor profile (low decision influence)"
MP00000000000052,Deborah,Lynch,Director of Cybersecurity,5.0,25.0,2.86,5.16,38.02,44.69,Cold,Low,"{""engagement"": 5.0, ""recency"": 25.0, ""profile"": 2.86, ""account"": 5.16}",Eligible,False,"Hot recency: engaged within past 7 days, Strong buying-committee activity at account","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence)"
MP00000000000053,Jason,Salinas,,9.0,20.0,2.29,5.5,36.79,42.36,Cold,Low,"{""engagement"": 9.0, ""recency"": 20.0, ""profile"": 2.29, ""account"": 5.5}",Eligible,False,"Hot recency: engaged within past 7 days, Strategic Named Account profile match, Strong buying-committee activity at account","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000054,Elaine,Keller,,7.0,25.0,13.43,2.45,47.88,63.59,Monitor,Medium,"{""engagement"": 7.0, ""recency"": 25.0, ""profile"": 13.43, ""account"": 2.45}",Restricted,False,"Hot recency: engaged within past 7 days, Strong buying-committee activity at account, High profile completeness","High automation inflation (DQ-8: >70% sends), Data gap: missing title field, Data quality risk: duplicate email address"
MP00000000000055,John,Leblanc,Senior SOC Analyst,0.0,0.0,15.6,1.14,16.74,19.95,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 15.6, ""account"": 1.14}",Blocked,True,"High-tier buying authority (Director/C-Suite), High profile completeness","Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends)"
MP00000000000056,Michelle,Cherry,,14.67,23.0,4.86,6.38,48.91,65.81,Monitor,Medium,"{""engagement"": 14.67, ""recency"": 23.0, ""profile"": 4.86, ""account"": 6.38}",Eligible,False,"High interaction volume (3+ responses), Attended premium Event campaign, Hot recency: engaged within past 7 days","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000057,Whitney,Hicks,Security Analyst,29.5,25.0,2.86,5.49,62.85,86.11,Warm,High,"{""engagement"": 29.5, ""recency"": 25.0, ""profile"": 2.86, ""account"": 5.49}",Blocked,True,"High interaction volume (3+ responses), Hot recency: engaged within past 7 days, Engagement surge detected in past 14 days",Individual contributor profile (low decision influence)
MP00000000000058,Diana,Smith,,0.0,20.0,7.66,2.87,30.53,31.97,Cold,Low,"{""engagement"": 0.0, ""recency"": 20.0, ""profile"": 7.66, ""account"": 2.87}",Eligible,False,"Hot recency: engaged within past 7 days, Strong buying-committee activity at account","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000059,Kathryn,Hernandez,IT Security Manager,4.0,25.0,14.0,2.98,45.98,60.68,Monitor,Medium,"{""engagement"": 4.0, ""recency"": 25.0, ""profile"": 14.0, ""account"": 2.98}",Eligible,False,"Hot recency: engaged within past 7 days, Strong buying-committee activity at account, High profile completeness","High automation inflation (DQ-8: >70% sends), Data quality risk: duplicate email address"
MP00000000000060,Nicole,Sanchez,,19.0,12.0,7.66,2.48,41.14,51.23,Monitor,Medium,"{""engagement"": 19.0, ""recency"": 12.0, ""profile"": 7.66, ""account"": 2.48}",Eligible,False,Strong buying-committee activity at account,"Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000061,Jerry,Jenkins,Information Security Director,0.0,0.0,16.4,2.29,18.69,21.82,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 16.4, ""account"": 2.29}",Eligible,False,"High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account, High profile completeness","Zero response history (passive sends only), Data quality risk: duplicate email address"
MP00000000000062,Eric,Phillips,CISO,9.0,12.0,9.03,6.52,36.55,41.77,Cold,Low,"{""engagement"": 9.0, ""recency"": 12.0, ""profile"": 9.03, ""account"": 6.52}",Eligible,False,"High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account, High profile completeness",None
MP00000000000063,David,Riggs,,15.0,6.0,7.66,4.59,33.25,36.64,Cold,Low,"{""engagement"": 15.0, ""recency"": 6.0, ""profile"": 7.66, ""account"": 4.59}",Eligible,False,None,"Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000064,Ryan,Simon,Information Security Manager,20.0,16.0,2.86,1.99,40.85,50.41,Monitor,Medium,"{""engagement"": 20.0, ""recency"": 16.0, ""profile"": 2.86, ""account"": 1.99}",Eligible,False,Attended premium Event campaign,Individual contributor profile (low decision influence)
MP00000000000065,Joseph,Morton,SOC Analyst,15.0,6.0,8.23,5.23,34.46,38.86,Cold,Low,"{""engagement"": 15.0, ""recency"": 6.0, ""profile"": 8.23, ""account"": 5.23}",Eligible,False,"Strategic Named Account profile match, Strong buying-committee activity at account, High profile completeness",Individual contributor profile (low decision influence)
MP00000000000066,Patricia,Salazar,SOC Analyst,0.0,20.0,5.43,4.95,30.38,31.62,Cold,Low,"{""engagement"": 0.0, ""recency"": 20.0, ""profile"": 5.43, ""account"": 4.95}",Eligible,False,"Hot recency: engaged within past 7 days, Strong buying-committee activity at account, High profile completeness","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence)"
MP00000000000067,Charles,Lewis,Senior SOC Analyst,0.0,0.0,2.86,0.27,3.13,2.33,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 2.86, ""account"": 0.27}",Eligible,False,None,"Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence)"
MP00000000000068,Jason,Hahn,Director of Information Security,12.0,25.0,2.86,3.44,43.3,55.54,Monitor,Medium,"{""engagement"": 12.0, ""recency"": 25.0, ""profile"": 2.86, ""account"": 3.44}",Eligible,False,"Attended premium Event campaign, Hot recency: engaged within past 7 days, Strong buying-committee activity at account","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence)"
MP00000000000069,Robin,Ellis,SecOps Manager,19.0,6.0,2.86,5.5,33.36,36.99,Cold,Low,"{""engagement"": 19.0, ""recency"": 6.0, ""profile"": 2.86, ""account"": 5.5}",Eligible,False,"Strategic Named Account profile match, Strong buying-committee activity at account",Individual contributor profile (low decision influence)
MP00000000000070,Bryan,James,Director of Cybersecurity,25.0,12.0,10.23,2.45,49.68,67.44,Monitor,Medium,"{""engagement"": 25.0, ""recency"": 12.0, ""profile"": 10.23, ""account"": 2.45}",Eligible,False,"Attended premium Event campaign, Strong buying-committee activity at account, High profile completeness",Individual contributor profile (low decision influence)
MP00000000000071,Christopher,Hall,Senior SOC Analyst,10.0,25.0,15.6,1.06,51.66,70.48,Monitor,Medium,"{""engagement"": 10.0, ""recency"": 25.0, ""profile"": 15.6, ""account"": 1.06}",Eligible,False,"Attended premium Event campaign, Hot recency: engaged within past 7 days, High-tier buying authority (Director/C-Suite)",High automation inflation (DQ-8: >70% sends)
MP00000000000072,Christopher,Tucker,,0.0,0.0,7.66,4.01,11.67,14.59,Cold,Low,"{""engagement"": 0.0, ""recency"": 0.0, ""profile"": 7.66, ""account"": 4.01}",Blocked,True,Strong buying-committee activity at account,"Zero response history (passive sends only), High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence)"
MP00000000000073,Todd,Hardy,,24.0,6.0,7.66,8.58,46.24,60.79,Monitor,Medium,"{""engagement"": 24.0, ""recency"": 6.0, ""profile"": 7.66, ""account"": 8.58}",Eligible,False,"Strategic Named Account profile match, Strong buying-committee activity at account","Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000074,Wesley,Farrell,CISO,20.0,21.0,11.43,2.9,55.33,76.66,Monitor,Medium,"{""engagement"": 20.0, ""recency"": 21.0, ""profile"": 11.43, ""account"": 2.9}",Eligible,False,"Attended premium Event campaign, Strong buying-committee activity at account, High profile completeness",Individual contributor profile (low decision influence)
MP00000000000075,Ross,Wood,Cybersecurity Manager,19.0,16.0,9.43,5.83,50.26,68.26,Monitor,Medium,"{""engagement"": 19.0, ""recency"": 16.0, ""profile"": 9.43, ""account"": 5.83}",Eligible,False,"Strong buying-committee activity at account, High profile completeness",Individual contributor profile (low decision influence)
MP00000000000076,Shelly,Hudson,,22.67,25.0,7.43,2.29,57.39,79.81,Monitor,Medium,"{""engagement"": 22.67, ""recency"": 25.0, ""profile"": 7.43, ""account"": 2.29}",Restricted,False,"High interaction volume (3+ responses), Hot recency: engaged within past 7 days, Engagement surge detected in past 14 days","High automation inflation (DQ-8: >70% sends), Data gap: missing title field, Data quality risk: shared general inbox address"
MP00000000000077,Kimberly,Reed,,19.0,6.0,2.29,4.99,32.28,35.36,Cold,Low,"{""engagement"": 19.0, ""recency"": 6.0, ""profile"": 2.29, ""account"": 4.99}",Eligible,False,Strategic Named Account profile match,"Individual contributor profile (low decision influence), Data gap: missing title field"
MP00000000000078,John,Campos,Information Security Analyst,20.86,25.0,10.8,5.5,62.16,85.53,Warm,High,"{""engagement"": 20.86, ""recency"": 25.0, ""profile"": 10.8, ""account"": 5.5}",Eligible,False,"High interaction volume (3+ responses), Hot recency: engaged within past 7 days, Engagement surge detected in past 14 days","High automation inflation (DQ-8: >70% sends), Individual contributor profile (low decision influence), Data quality risk: duplicate email address"
MP00000000000079,Amanda,Gill,Director of Information Security,15.0,12.0,9.03,4.01,40.04,48.54,Monitor,Medium,"{""engagement"": 15.0, ""recency"": 12.0, ""profile"": 9.03, ""account"": 4.01}",Eligible,False,"High-tier buying authority (Director/C-Suite), Strong buying-committee activity at account, High profile completeness",None
MP00000000000080,Jose,Mason,,37.4,25.0,2.29,6.61,71.3,94.05,Warm,High,"{""engagement"": 37.4, ""recency"": 25.0, ""profile"": 2.29, ""account"": 6.61}",Restricted,False,"High interaction volume (3+ responses), Hot recency: engaged within past 7 days, Strong buying-committee activity at account","Individual contributor profile (low decision influence), Data gap: missing title field, Data quality risk: shared general inbox address"
MP00000000000081,Phillip,Wilson,IT Security Manager,27.67,15.0,7.43,6.67,56.77,78.88,Monitor,Medium,"{""engagement"": 27.67, ""recency"": 15.0, ""profile"": 7.43, ""account"": 6.67}",Eligible,False,"High interaction volume (3+ responses), Strong buying-committee activity at account, High profile completeness",Data quality risk: duplicate email address
MP00000000000082,Lisa,Evans,SecOps Manager,15.0,6.0,9.43,2.65,33.08,36.41,Cold,Low,"{""engagement"": 15.0, ""recency"": 6.0, ""profile"": 9.43, ""account"": 2.65}",Eligible,False,"Strong buying-committee activity at account, High profile completeness",Individual contributor profile (low decision influence)
MP00000000000083,Jeffrey,Velasquez,,31.4,25.0,17.03,2.29,75.72,97.32,Warm,High,"{""engagement"": 31.4, ""recency"": 25.0, ""profile"": 17.03, ""account"": 2.29}",Eligible,False,"High interaction volume (3+ responses), Hot recency: engaged within past 7 days, High-tier buying authority (Director/C-Suite)",Data gap: missing title field
