master_person_id,preferred_entity_id,preferred_entity_type,lead_id,contact_id,email,normalized_email,account_id,first_name,last_name,title,job_persona,job_level,source_entity_types,has_lead_record,has_contact_record,is_connected_pair,broken_conversion_link_flag,duplicate_email_flag,shared_mailbox_flag,entity_resolution_confidence
MP00000000000011,0031tYPjJtmSCm9BZL,Contact,,0031tYPjJtmSCm9BZL,daniel.johnson@westhendersonandramirez.com,daniel.johnson@westhendersonandramirez.com,001h7i71S87XwXaHCP,Daniel,Johnson,Threat Analyst,,Manager,Contact,False,True,False,False,False,False,1.0
MP00000000000012,0031uznmdJ8GfSLWRA,Contact,,0031uznmdJ8GfSLWRA,dana.green@sandoval-cunningham.com,dana.green@sandoval-cunningham.com,001YYojmLVOkVEUVB5,Dana,Green,Cybersecurity Manager,Security Management,C-Suite,Contact,False,True,False,False,False,False,1.0
MP00000000000013,0031vfi5jE9VoBNnTv,Contact,,0031vfi5jE9VoBNnTv,leah.shields@castaneda-ashley.com,leah.shields@castaneda-ashley.com,001s9BvYB9WoYKvSNk,Leah,Shields,Director of Cybersecurity,Security Leadership,Manager,Contact,False,True,False,False,False,False,1.0
MP00000000000014,0032B4gNefhdboEVaq,Contact,,0032B4gNefhdboEVaq,amanda.webb@doyleltd.com,amanda.webb@doyleltd.com,001HnKYaXRvj7uff0L,Amanda,Webb,Information Security Manager,Security Management,,Contact,False,True,False,False,False,False,1.0
MP00000000000015,0032CRSsMYkp3TC4lJ,Contact,,0032CRSsMYkp3TC4lJ,larry.byrd@figueroaplc.com,larry.byrd@figueroaplc.com,001Q7iLWceWwxJLQ6x,Larry,Byrd,Director of Cybersecurity,Security Leadership,,Contact,False,True,False,False,False,False,1.0
MP00000000000016,0032CbDvCkVLhgYXuO,Contact,,0032CbDvCkVLhgYXuO,rachel.clark@yuinc.com,rachel.clark@yuinc.com,001EBqUhArQEPcyLas,Rachel,Clark,,Security Executive,C-Suite,Contact,False,True,False,False,False,False,1.0
MP00000000000017,0032dDx5SFhfjBFZf4,Contact,,0032dDx5SFhfjBFZf4,veronica.bowman@walkerltd.com,veronica.bowman@walkerltd.com,001WJSKkMM0jQb6gbt,Veronica,Bowman,SecOps Manager,Security Management,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000018,0032fHyS2GHnFtvNb3,Contact,,0032fHyS2GHnFtvNb3,brandy.dominguez@harveydavisandcrane.com,brandy.dominguez@harveydavisandcrane.com,001D04wzInjq5Jzjux,Brandy,Dominguez,Security Analyst,Security Operations,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000019,0032fa5RKrQXDhiqBo,Contact,,0032fa5RKrQXDhiqBo,tina.herrera@arroyomillerandtucker.com,tina.herrera@arroyomillerandtucker.com,001Is9hVLXnGBB19sM,Tina,Herrera,Information Security Manager,Security Management,Individual Contributor,Contact,False,True,False,False,False,False,1.0
MP00000000000020,0032kAQFH2KTU51gJX,Contact,,0032kAQFH2KTU51gJX,jessica.sheppard@smith-bowen.com,jessica.sheppard@smith-bowen.com,001Y7gbtP7ySeQMgV0,Jessica,Sheppard,CISO,Security Executive,Director,Contact,False,True,False,False,False,False,1.0
MP00000000000021,0032oKDzeLpHMIZdjO,Contact,,0032oKDzeLpHMIZdjO,rodney.hill@abbott-munoz.com,rodney.hill@abbott-munoz.com,001EeVVhDIq2AnHTmt,Rodney,Hill,Chief Information Security Officer,Security Executive,,Contact,False,True,False,False,False,False,1.0
MP00000000000022,0032qEwq4XW18WjjBX,Contact,00Qo2x2Zgkgg7wMh55,0032qEwq4XW18WjjBX,emily.nicholson@collierwrightanddavis.com,emily.nicholson@collierwrightanddavis.com,001ylh0CPNLbWphJeV,Emily,Nicholson,Director of Cybersecurity,Security Leadership,,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000023,0033GRx8ffiYeJA7oq,Contact,,0033GRx8ffiYeJA7oq,joseph.brennan@sanchezwheelerandharvey.com,joseph.brennan@sanchezwheelerandharvey.com,0010pKGytvukFhF4vT,Joseph,Brennan,SecOps Manager,,Manager,Contact,False,True,False,False,False,False,1.0
MP00000000000024,0033TbxSpcRIHEJHuD,Contact,,0033TbxSpcRIHEJHuD,james.moran@green-wright.com,james.moran@green-wright.com,001QYXzENpOSWe9DyF,James,Moran,,Security Operations,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000025,0033Wd9GV98gOqY4d9,Contact,"00QcMpszIdrim2GNXX,00QroAIVMPILOQbqV5",0033Wd9GV98gOqY4d9,john.gonzales@partnerconsulting.com,john.gonzales@partnerconsulting.com,001zCN2fFr6w6uaVTT,John,Gonzales,Cyber Security Manager,Security Management,Manager,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000026,0033iFqYuTOSausPlL,Contact,,0033iFqYuTOSausPlL,christopher.williams@smith-bell.com,christopher.williams@smith-bell.com,001VIhhWZwZcSH9gZU,Christopher,Williams,SecOps Manager,Security Management,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000027,0033uUi9SF8dBZvV7y,Contact,"00Q3Ic5t7KUSyekoZy,00QJ2jT6cVoqoPGXy4",0033uUi9SF8dBZvV7y,shawn.mckay@ramirezgroup.com,shawn.mckay@ramirezgroup.com,0017nJ6iUo8k2fRN2B,Shawn,Mckay,Director Security Operations,Security Operations,Director,"Lead,Contact",True,True,False,False,True,False,0.9
MP00000000000028,00342cOg8NqTJJxxK3,Contact,,00342cOg8NqTJJxxK3,nicholas.galloway@reidfergusonandsanchez.com,nicholas.galloway@reidfergusonandsanchez.com,00140fAraVNqTIAae2,Nicholas,Galloway,,,Director,Contact,False,True,False,False,False,False,1.0
MP00000000000029,003491h1pSZVPEJqzC,Contact,,003491h1pSZVPEJqzC,andrew.hickman@smithgilmoreandjohnston.com,andrew.hickman@smithgilmoreandjohnston.com,001FEQz0EfbVsrHkCU,Andrew,Hickman,Partner Alliance Manager,,,Contact,False,True,False,False,False,False,1.0
MP00000000000030,0034BQT3iIty0BfdNK,Contact,00QmRP8jB8Hhb5V65j,0034BQT3iIty0BfdNK,bradley.hall@dawsoninc.com,bradley.hall@dawsoninc.com,001Q0OsGFUsd37EgEK,Bradley,Hall,Director Security Operations,,,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000031,0034JOj1lSAtVBMhim,Contact,,0034JOj1lSAtVBMhim,meghan.davis@russell-daniels.com,meghan.davis@russell-daniels.com,001g2luCq1GNLLKv0M,Meghan,Davis,SOC Analyst,Security Operations,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000032,0034NWy6WFqOt34Pa4,Contact,00QR64gfZfb5gUMHNF,0034NWy6WFqOt34Pa4,caleb.johns@millerjacksonandgarcia.com,caleb.johns@millerjacksonandgarcia.com,001LT6mnOjkeaBKsoR,Caleb,Johns,Cyber Security Manager,Security Operations,Manager,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000033,0034ZektUJrhQR6FEe,Contact,,0034ZektUJrhQR6FEe,matthew.moore@blairplc.com,matthew.moore@blairplc.com,0019OBGhnuKoneNo41,Matthew,Moore,Director of Information Security,,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000034,0034s6A8vfa9zhswId,Contact,,0034s6A8vfa9zhswId,richard.oliver@wellsinc.com,richard.oliver@wellsinc.com,001gJSoFc1pDxj51I4,Richard,Oliver,,Security Management,Director,Contact,False,True,False,False,False,False,1.0
MP00000000000035,00354OaGzbSHrFRA6l,Contact,,00354OaGzbSHrFRA6l,joseph.davidson@walteredwardsandrios.com,joseph.davidson@walteredwardsandrios.com,001TtLFxJpRa5HSUPw,Joseph,Davidson,,Partner / Channel,Manager,Contact,False,True,False,False,False,False,1.0
MP00000000000036,0035AMfdzsNouDFNsq,Contact,,0035AMfdzsNouDFNsq,tiffany.warren@house-glover.com,tiffany.warren@house-glover.com,001rNHu9GCLgR0OVSn,Tiffany,Warren,,Security Leadership,C-Suite,Contact,False,True,False,False,False,False,1.0
MP00000000000037,0035JEKCIYk7egYVxE,Contact,00QVLhgYXuOXHyzMH8,0035JEKCIYk7egYVxE,isaac.steele@wilson-torres.com,isaac.steele@wilson-torres.com,001rSvBpDmH5RiMKpP,Isaac,Steele,Chief Security Officer,Security Executive,,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000038,0035SrJH3yvVjc7e5O,Contact,,0035SrJH3yvVjc7e5O,reginald.robinson@woodhunterandpeterson.com,reginald.robinson@woodhunterandpeterson.com,001im2GNXX9WwHE4Fy,Reginald,Robinson,,,Individual Contributor,Contact,False,True,False,False,False,False,1.0
MP00000000000039,0035V65j8HFOs38U9P,Contact,,0035V65j8HFOs38U9P,michael.jones@hernandezltd.com,michael.jones@hernandezltd.com,001fGcn13Dce53Ic5t,Michael,Jones,,Non-Prospect,C-Suite,Contact,False,True,False,False,False,False,1.0
MP00000000000040,0035wfMsSoEwr4RmmY,Contact,,0035wfMsSoEwr4RmmY,anthony.day@pattersonsmithandjones.com,anthony.day@pattersonsmithandjones.com,001VJGyOphTExIqqB9,Anthony,Day,Senior SOC Analyst,Security Operations,Manager,Contact,False,True,False,False,False,False,1.0
MP00000000000041,00365OM48mRkyAqfw6,Contact,,00365OM48mRkyAqfw6,gregory.rubio@orphan-enterprise.com,gregory.rubio@orphan-enterprise.com,,Gregory,Rubio,Threat Analyst,,Individual Contributor,Contact,False,True,False,False,False,False,1.0
MP00000000000042,00365oQyqGArXxtG7g,Contact,,00365oQyqGArXxtG7g,lisa.adams@lewiskennedyandsantana.com,lisa.adams@lewiskennedyandsantana.com,001L2lVSID1u7a67h9,Lisa,Adams,SecOps Manager,Security Management,Director,Contact,False,True,False,False,False,False,1.0
MP00000000000043,003694Xi1XrXUHLfpo,Contact,00QGJzeVP3bQQyK6Zj,003694Xi1XrXUHLfpo,chelsea.johnson@reyes-washington.com,chelsea.johnson@reyes-washington.com,001mn1uj3a1iipkOba,Chelsea,Johnson,,Security Executive,,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000044,0036DVvX4ZJApV4fLH,Contact,,0036DVvX4ZJApV4fLH,susan.cowan@morton-chase.com,susan.cowan@morton-chase.com,001zi6sEg3iCPU6zUj,Susan,Cowan,,,Director,Contact,False,True,False,False,False,False,1.0
MP00000000000045,0036EB0WWHa7YDJ5wQ,Contact,,0036EB0WWHa7YDJ5wQ,laura.perez@mckeegardneranddavenport.com,laura.perez@mckeegardneranddavenport.com,001r4Eh0C3BfQ0tveH,Laura,Perez,Cybersecurity Manager,,Manager,Contact,False,True,False,False,False,False,1.0
MP00000000000046,0036SEMCiay0x1BAZO,Contact,,0036SEMCiay0x1BAZO,vincent.white@manninggroup.com,vincent.white@manninggroup.com,001pxYyhIKHQI7CRBs,Vincent,White,,,,Contact,False,True,False,False,False,False,1.0
MP00000000000047,0036Z2GLL7P2Gne0F7,Contact,,0036Z2GLL7P2Gne0F7,jacqueline.nelson@hancockandsons.com,jacqueline.nelson@hancockandsons.com,001DXQsedBEmLtST18,Jacqueline,Nelson,,,Manager,Contact,False,True,False,False,False,False,1.0
MP00000000000048,0036eNwXQ7iLWceWwx,Contact,,0036eNwXQ7iLWceWwx,leslie.adams@staffordinc.com,leslie.adams@staffordinc.com,0017KUSyekoZy3uUi9,Leslie,Adams,Information Security Manager,,,Contact,False,True,False,False,False,False,1.0
MP00000000000049,0036fSEVQOEXfnQsKD,Contact,,0036fSEVQOEXfnQsKD,jeffrey.lawrence@lawsonmorrisandramos.com,jeffrey.lawrence@lawsonmorrisandramos.com,0014I8IipmO50fSlqP,Jeffrey,Lawrence,SecOps Manager,,,Contact,False,True,False,False,False,False,1.0
MP00000000000050,0036yvT8GK0DhaFjhx,Contact,,0036yvT8GK0DhaFjhx,bonnie.kennedy@garciallc.com,bonnie.kennedy@garciallc.com,001UpCXiaZ8iZxNNKq,Bonnie,Kennedy,,,,Contact,False,True,False,False,False,False,1.0
MP00000000000051,00373P2y00oJFhPJWG,Contact,,00373P2y00oJFhPJWG,robert.soto@diazinc.com,robert.soto@diazinc.com,001ReIdHFJjuGhmKfF,Robert,Soto,Information Security Manager,Security Management,,Contact,False,True,False,False,False,False,1.0
MP00000000000052,0037Tc4JlLF7BYZ8fO,Contact,,0037Tc4JlLF7BYZ8fO,deborah.lynch@blairplc.com,deborah.lynch@blairplc.com,0019OBGhnuKoneNo41,Deborah,Lynch,Director of Cybersecurity,,,Contact,False,True,False,False,False,False,1.0
MP00000000000053,0037dYjS05nT5W1TsY,Contact,,0037dYjS05nT5W1TsY,jason.salinas@ryanplc.com,jason.salinas@ryanplc.com,001fSEVQOEXfnQsKDG,Jason,Salinas,,,,Contact,False,True,False,False,False,False,1.0
MP00000000000054,0038NwqFthIUF2wU6c,Contact,00QBWaXB9zqkYeT5dG,0038NwqFthIUF2wU6c,elaine.keller@williamswaltersandmills.com,elaine.keller@williamswaltersandmills.com,001NbrnTP3fAbnFbmO,Elaine,Keller,,Security Management,Manager,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000055,0038QjdWmHwCMPInOy,Contact,,0038QjdWmHwCMPInOy,john.leblanc@parkerortizandpowell.com,john.leblanc@parkerortizandpowell.com,001xQPHOvlHGTnabsP,John,Leblanc,Senior SOC Analyst,Security Operations,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000056,0038iiX13R5MCAYxnA,Contact,,0038iiX13R5MCAYxnA,michelle.cherry@doyleltd.com,michelle.cherry@doyleltd.com,001HnKYaXRvj7uff0L,Michelle,Cherry,,,Individual Contributor,Contact,False,True,False,False,False,False,1.0
MP00000000000057,0038jO2DOUrrdVOoT0,Contact,,0038jO2DOUrrdVOoT0,whitney.hicks@abbott-munoz.com,whitney.hicks@abbott-munoz.com,001EeVVhDIq2AnHTmt,Whitney,Hicks,Security Analyst,,,Contact,False,True,False,False,False,False,1.0
MP00000000000058,0038pfZon34N2Vzc1Z,Contact,,0038pfZon34N2Vzc1Z,diana.smith@smith-frost.com,diana.smith@smith-frost.com,001OQdhtzF3Rth4sMn,Diana,Smith,,Security Operations,,Contact,False,True,False,False,False,False,1.0
MP00000000000059,00395OzZ81f0KIhiE9,Contact,00Qb0XAYWykMDKR8UZ,00395OzZ81f0KIhiE9,kathryn.hernandez@stewartgroup.com,kathryn.hernandez@stewartgroup.com,0014I8IipmO50fSlqP,Kathryn,Hernandez,IT Security Manager,Security Management,Manager,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000060,00399C37DHpk6Rg9b5,Contact,,00399C37DHpk6Rg9b5,nicole.sanchez@edwardsbakerandanderson.com,nicole.sanchez@edwardsbakerandanderson.com,001Ze11MFCIX3BYOtD,Nicole,Sanchez,,Security Operations,,Contact,False,True,False,False,False,False,1.0
MP00000000000061,0039ISjs8JHUdKF0j7,Contact,00QGTTpLVllOEhf6J6,0039ISjs8JHUdKF0j7,jerry.jenkins@whiteheadlanenadtran.com,jerry.jenkins@whiteheadlanenadtran.com,0014HZKjht3X13npgW,Jerry,Jenkins,Information Security Director,Security Leadership,Director,"Lead,Contact",True,True,True,True,True,False,0.9
MP00000000000062,0039MGSL6YNBmOXrcL,Contact,,0039MGSL6YNBmOXrcL,eric.phillips@bentleybyrdandorr.com,eric.phillips@bentleybyrdandorr.com,001gcLRdTyon1dFrYT,Eric,Phillips,CISO,,Director,Contact,False,True,False,False,False,False,1.0
MP00000000000063,0039SX5JpfuNy5VikV,Contact,,0039SX5JpfuNy5VikV,david.riggs@curryinc.com,david.riggs@curryinc.com,001cdWFMFzRfHMrtFm,David,Riggs,,Security Operations,,Contact,False,True,False,False,False,False,1.0
MP00000000000064,0039V5DuAw39Y6Pxdw,Contact,,0039V5DuAw39Y6Pxdw,ryan.simon@evansstewartandwalton.com,ryan.simon@evansstewartandwalton.com,001jdg3vSFkpBBGjxr,Ryan,Simon,Information Security Manager,,,Contact,False,True,False,False,False,False,1.0
MP00000000000065,0039YaeRGOTkxRml6B,Contact,,0039YaeRGOTkxRml6B,joseph.morton@jonesinc.com,joseph.morton@jonesinc.com,001CtlRJoWcURYxPY8,Joseph,Morton,SOC Analyst,Security Operations,,Contact,False,True,False,False,False,False,1.0
MP00000000000066,0039aVl5pEfur8hx5g,Contact,,0039aVl5pEfur8hx5g,patricia.salazar@donovan-harris.com,patricia.salazar@donovan-harris.com,001INM1MjeBsrdFtCd,Patricia,Salazar,SOC Analyst,,Individual Contributor,Contact,False,True,False,False,False,False,1.0
MP00000000000067,0039ntV6Y4FJJfCjq3,Contact,,0039ntV6Y4FJJfCjq3,charles.lewis@westhendersonandramirez.com,charles.lewis@westhendersonandramirez.com,001h7i71S87XwXaHCP,Charles,Lewis,Senior SOC Analyst,,,Contact,False,True,False,False,False,False,1.0
MP00000000000068,0039r4Eh0C3BfQ0tve,Contact,,0039r4Eh0C3BfQ0tve,jason.hahn@harveydavisandcrane.com,jason.hahn@harveydavisandcrane.com,001D04wzInjq5Jzjux,Jason,Hahn,Director of Information Security,,,Contact,False,True,False,False,False,False,1.0
MP00000000000069,0039vyVFgohBid61z7,Contact,,0039vyVFgohBid61z7,robin.ellis@ryanplc.com,robin.ellis@ryanplc.com,001fSEVQOEXfnQsKDG,Robin,Ellis,SecOps Manager,,,Contact,False,True,False,False,False,False,1.0
MP00000000000070,0039x14xQPHOvlHGTn,Contact,,0039x14xQPHOvlHGTn,bryan.james@rodriguezfigueroaandsanchez.com,bryan.james@rodriguezfigueroaandsanchez.com,001NbrnTP3fAbnFbmO,Bryan,James,Director of Cybersecurity,Security Leadership,,Contact,False,True,False,False,False,False,1.0
MP00000000000071,003A3zZyTttp7QDffA,Contact,,003A3zZyTttp7QDffA,christopher.hall@reedgroup.com,christopher.hall@reedgroup.com,001bQknlr2cMpszIdr,Christopher,Hall,Senior SOC Analyst,Security Operations,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000072,003AHkD9eKan56yrSV,Contact,,003AHkD9eKan56yrSV,christopher.tucker@hancockandsons.com,christopher.tucker@hancockandsons.com,001DXQsedBEmLtST18,Christopher,Tucker,,Security Operations,,Contact,False,True,False,False,False,False,1.0
MP00000000000073,003AMTlrhqRPADWgTL,Contact,,003AMTlrhqRPADWgTL,todd.hardy@hickmanltd.com,todd.hardy@hickmanltd.com,001f7ZJ69PqcUDO4lK,Todd,Hardy,,Security Operations,,Contact,False,True,False,False,False,False,1.0
MP00000000000074,003AzUwyBJ8QYSXI1m,Contact,,003AzUwyBJ8QYSXI1m,wesley.farrell@burkemartinezandriggs.com,wesley.farrell@burkemartinezandriggs.com,001Ybd3Bh4ZucCkJYy,Wesley,Farrell,CISO,Security Executive,,Contact,False,True,False,False,False,False,1.0
MP00000000000075,003B2itWcXzYUoTvmd,Contact,,003B2itWcXzYUoTvmd,ross.wood@meadowsplc.com,ross.wood@meadowsplc.com,0015qOpx4kysRoORaD,Ross,Wood,Cybersecurity Manager,Security Management,,Contact,False,True,False,False,False,False,1.0
MP00000000000076,003BDsyqHBL3TLboP1,Contact,00QjzQDcrr1eoqXKXm,003BDsyqHBL3TLboP1,info@partnerconsulting.com,info@partnerconsulting.com,0014HZKjht3X13npgW,Shelly,Hudson,,Partner / Channel,Manager,"Lead,Contact",True,True,True,False,False,True,1.0
MP00000000000077,003BFTFRabVhoApeiE,Contact,,003BFTFRabVhoApeiE,kimberly.reed@walkerllc.com,kimberly.reed@walkerllc.com,0015BRh8LojIIf94Ch,Kimberly,Reed,,,,Contact,False,True,False,False,False,False,1.0
MP00000000000078,003BWEgOfrZ3mTMT30,Contact,"00Q6wPorelEuOQjJY7,00QNdc06PVz0oRaFxM","003BWEgOfrZ3mTMT30,003YPX4gfjlGYqyxzJ",john.campos@phamrobinsonandlee.com,john.campos@phamrobinsonandlee.com,001fSEVQOEXfnQsKDG,John,Campos,Information Security Analyst,Security Operations,Individual Contributor,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000079,003BiUa2RgriAubP67,Contact,,003BiUa2RgriAubP67,amanda.gill@russellgroup.com,amanda.gill@russellgroup.com,001mn1uj3a1iipkOba,Amanda,Gill,Director of Information Security,,Director,Contact,False,True,False,False,False,False,1.0
MP00000000000080,003Br1VjArnVgxwvqc,Contact,00Qh8l7qgATtLFxJpR,003Br1VjArnVgxwvqc,info@megacorp.com,info@megacorp.com,0014vvVSNQLlpIn8sr,Jose,Mason,,,,"Lead,Contact",True,True,True,True,False,True,1.0
MP00000000000081,003C1Ha2oKDzeLpHMI,Contact,00QwGxXF6xxV4JOj1l,003C1Ha2oKDzeLpHMI,phillip.wilson@bennett-velasquez.com,phillip.wilson@bennett-velasquez.com,0019HpUlwW1uhw3U3x,Phillip,Wilson,IT Security Manager,,Manager,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000082,003C5bpGuyjvvMo8FY,Contact,,003C5bpGuyjvvMo8FY,lisa.evans@brown-wall.com,lisa.evans@brown-wall.com,001YRsMfihslQFzixl,Lisa,Evans,SecOps Manager,Security Management,,Contact,False,True,False,False,False,False,1.0
MP00000000000083,003C9VQPVpWrdy9qYl,Contact,,003C9VQPVpWrdy9qYl,jeffrey.velasquez@flowersmartinandkelly.com,jeffrey.velasquez@flowersmartinandkelly.com,0019enq522wjZRL9Oa,Jeffrey,Velasquez,,Security Executive,Director,Contact,False,True,False,False,False,False,1.0
MP00000000000084,003CTP9gyv1plBArp5,Contact,00QaPzPdlVjqkcLQzN,003CTP9gyv1plBArp5,james.bass@carrollchoiandcollier.com,james.bass@carrollchoiandcollier.com,001ciuDCLFuMk9TsuZ,James,Bass,Director of Information Security,Security Leadership,Director,"Lead,Contact",True,True,True,True,True,False,0.9
MP00000000000085,003CTQ0oz9A13X6waP,Contact,,003CTQ0oz9A13X6waP,diana.marshall@white-green.com,diana.marshall@white-green.com,001iVUi9iGaOBSMjzQ,Diana,Marshall,Chief Security Officer,Security Executive,Individual Contributor,Contact,False,True,False,False,False,False,1.0
MP00000000000086,003CVOkcxlR3NwfNTi,Contact,,003CVOkcxlR3NwfNTi,andrew.lee@orphan-enterprise.com,andrew.lee@orphan-enterprise.com,,Andrew,Lee,Security Director,,,Contact,False,True,False,False,False,False,1.0
MP00000000000087,003CY5dGJQIbJu4Xej,Contact,,003CY5dGJQIbJu4Xej,charles.ware@hendersonramirezandlewis.com,charles.ware@hendersonramirezandlewis.com,001NgAC72qFl41sNLj,Charles,Ware,SecOps Manager,Security Management,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000088,003CecSbvgX5TFIuAC,Contact,,003CecSbvgX5TFIuAC,chelsea.hernandez@tranjordanandwilliams.com,chelsea.hernandez@tranjordanandwilliams.com,00130S5NXFhmiXbIwX,Chelsea,Hernandez,,,VP,Contact,False,True,False,False,False,False,1.0
MP00000000000089,003CsEFHYHbV92hB0B,Contact,,003CsEFHYHbV92hB0B,laura.jackson@abbott-munoz.com,laura.jackson@abbott-munoz.com,001EeVVhDIq2AnHTmt,Laura,Jackson,VP Security,Security Executive,Director,Contact,False,True,False,False,False,False,1.0
MP00000000000090,003CtxRSEqy5Kcnm1y,Contact,,003CtxRSEqy5Kcnm1y,andrew.hernandez@jonesinc.com,andrew.hernandez@jonesinc.com,001nipuaUkxRFZXe1c,Andrew,Hernandez,Threat Analyst,Security Operations,Individual Contributor,Contact,False,True,False,False,False,False,1.0
MP00000000000091,003CzOUTsYMQ7PXfil,Contact,,003CzOUTsYMQ7PXfil,katie.boyd@guzmanhoffmanandbaldwin.com,katie.boyd@guzmanhoffmanandbaldwin.com,0019NIQ0Wobtqn62tO,Katie,Boyd,Director of Cybersecurity,Security Leadership,,Contact,False,True,False,False,False,False,1.0
MP00000000000092,003D4cRikdtXCkKYgE,Contact,,003D4cRikdtXCkKYgE,tammy.ramirez@millerhernandezandreyes.com,tammy.ramirez@millerhernandezandreyes.com,001RtsYh0OPk9pkjI7,Tammy,Ramirez,Security Analyst,,,Contact,False,True,False,False,False,False,1.0
MP00000000000093,003DATblbXZGuJOWEP,Contact,00QQHsMX6Y6e3Ce3r7,003DATblbXZGuJOWEP,whitney.parsons@richardson-bonilla.com,whitney.parsons@richardson-bonilla.com,001YTH8xIZM1JRcore,Whitney,Parsons,,Security Operations,,"Lead,Contact",True,True,True,False,True,False,0.9
MP00000000000094,003DNwU3YXdMGTZenG,Contact,,003DNwU3YXdMGTZenG,leslie.walton@wilkerson-day.com,leslie.walton@wilkerson-day.com,001ePut0SstzyshA6P,Leslie,Walton,,Security Operations,C-Suite,Contact,False,True,False,False,False,False,1.0
