lead_id,email,first_name,last_name,title,company,job_persona,job_level,lead_status,lead_source,has_opted_out,email_bounced,mkto_lead_score,is_converted,converted_contact_id,phone,industry,true_entry_date,created_date,mql_date
00QSQbD7WWJSKkMM0j,brenda.smith@vendorsystems.com,Brenda,Smith,Account Executive,Hayden PLC,,Manager,Disqualified,Paid Search,False,False,-13,False,,001-949-702-7874x29671,Education,2026-02-13 22:24:08,2026-05-15 03:00:00,
00Q52TdimuPGtk4vvV,mia.rivera@partnerconsulting.com,Mia,Rivera,Security Consultant,Cook-Santiago,Partner / Channel,Manager,MQL,Cold Outreach,False,False,62,False,,001-874-268-0715x451,Technology,2026-03-15 13:18:08,2026-05-15 03:00:00,2026-03-25 00:18:08
00Qtv5XqhPx8Y7XsrS,april.dean@boothmurrayandbrown.com,April,Dean,,"Booth, Murray and Brown  ",Security Management,Manager,Open,Direct Inbound,False,False,78,False,,570.434.8247x7109,Cybersecurity,2025-12-03 12:29:08,2026-05-15 03:00:00,
00Qod4noguDQi78jO2,christopher.gay@pierce-tran.com,Christopher,Gay,Information Security Manager,Pierce-Tran,Security Management,Manager,Converted,Webinar,False,False,65,True,003zZ5cZWlU2rcsL5u,971-927-4846,Technology,2026-04-01 02:50:08,2026-05-15 03:00:00,2026-04-02 04:50:08
00QG3iFqYuTOSausPl,patrick.weeks@bryantandsons.com,Patrick,Weeks,Threat Intelligence Analyst,Bryant and Sons,Security Operations,Individual Contributor,Open,Paid Search,False,False,,False,,421.946.5840x44997,,2026-04-25 05:17:08,2026-05-15 03:00:00,
00QxBquKJqwoPCjQ53,nicholas.cantu@washingtoncookandhines.com,Nicholas,Cantu,Chief Information Security Officer,"Washington, Cook and Hines",Security Executive,C-Suite,SQL,Executive Dinner,False,False,82,False,,839.863.6057,Cybersecurity,2026-02-02 20:59:08,2026-05-15 03:00:00,2026-02-14 02:59:08
00QUXZVQKWGGw4gZ3m,tammie.martinez@vendorsystems.com,Tammie,Martinez,Recruiter,"Sparks, Pearson and Hernandez",Non-Prospect,Manager,Disqualified,Cold Outreach,False,False,-5,False,,,Energy,2026-05-07 04:09:08,2026-05-07 04:09:08,
00QFCdCYSyYUJcvd95,cory.lozano@yahoo.com,Cory,Lozano,,"Rivera, Garcia and Kirk",Security Executive,VP,MQL,Direct Inbound,False,False,83,False,,8263217459,Cybersecurity,2026-02-12 08:40:08,2026-05-15 03:00:00,2026-02-24 15:40:08
00QxQPHOvlHGTnabsP,norman.stewart@phelps-villarreal.com,Norman,Stewart,Vice President Information Security,Phelps-Villarreal,Security Executive,VP,Open,Executive Dinner,False,False,82,False,,001-378-909-1343x161,Technology,2026-05-02 18:46:08,2026-05-15 03:00:00,
00Q63oeKBP2pcBHUWi,brandon.flynn@bensoninc.com,Brandon,Flynn,Information Security Manager,Benson Inc,Security Management,Manager,Converted,Direct Inbound,False,False,65,True,003zrIKTkQIcvNxGRz,855-562-3869x2221,Finance,2026-03-14 15:55:08,2026-03-14 15:55:08,2026-03-30 18:55:08
00QHon1iCdzzGypueB,steven.king@vendorsystems.com,Steven,King,Recruiter,durham-thomas,Non-Prospect,,Disqualified,Cold Outreach,False,False,-14,False,,,,2025-12-30 20:55:08,2026-05-15 03:00:00,
00Q1u7a67h9DpLm4IW,steven.roberts@estrada-nolan.com,Steven,Roberts,Information Security Analyst,Estrada-Nolan,Security Operations,,Nurture,Webinar,False,False,51,False,,+1-921-675-9464,Finance,2026-01-30 09:39:08,2026-05-15 03:00:00,
00Qc1TbIKSsmoJpI6u,daniel.james@kiddgroup.com,Daniel,James,Cyber Security Analyst,Kidd Group,Security Operations,Individual Contributor,Working,Webinar,False,False,30,False,,(694)540-6409x097,,2026-01-11 05:26:08,2026-05-15 03:00:00,
00QNdc06PVz0oRaFxM,john.campos@phamrobinsonandlee.com,John,Campos,Information Security Analyst,"Pham, Robinson and Lee",Security Operations,Individual Contributor,Converted,Webinar,False,False,41,True,003YPX4gfjlGYqyxzJ,001-421-504-7095x21456,,2026-03-21 03:19:08,2026-05-15 03:00:00,2026-03-21 11:19:08
00QQ0O1VfxIdakEAWJ,alyssa.mcintyre@buchananllc.com,Alyssa,Mcintyre,Security Analyst,Buchanan LLC,Security Operations,,Working,Webinar,False,False,25,False,,(547)845-1712,Technology,2026-03-22 18:38:08,2026-03-22 18:38:08,
00Q3Ic5t7KUSyekoZy,amanda.gibson@diazgibbsandsmith.com,Amanda,Gibson,Director Security Operations,"Diaz,G ibbs and Smith",,Director,MQL,Cold Outreach,False,False,59,False,,+1-349-965-1370x98593,Cybersecurity,2026-05-05 07:23:08,2026-05-15 03:00:00,2026-05-07 12:23:08
00QK8uNWBoIxlKxVsp,sophia.torres@turnerortizandtaylor.com,Sophia,Torres,,"Turner, Ortiz and Taylor",,Manager,Open,Referral,False,False,80,False,,811.338.2675x8692,Cybersecurity,2026-05-07 20:18:08,2026-05-15 03:00:00,
00QgfAIFgfILW1azWS,joshua.vaughn@gilbert-crosby.com,Joshua,Vaughn,Senior Security Analyst,Gilbert-Crosby,Security Operations,Individual Contributor,Nurture,Webinar,False,False,43,False,,277.835.1585,Cybersecurity,2026-05-14 15:10:08,2026-05-15 03:00:00,
00QWw6SEMCiay0x1BA,melanie.gibson@lopez-martinez.com,Melanie,Gibson,Director of Cybersecurity,Lopez-Martinez,,Director,Working,Enterprise Event,False,False,61,False,,,Technology,2026-03-10 10:50:08,2026-05-15 03:00:00,
00QJpxYyhIKHQI7CRB,brent.cook@lewisfowlerandmaddox.com,Brent,Cook,,"Lewis, Fowler and Maddox",,Individual Contributor,Working,Enterprise Event,True,False,20,False,,(793)418-3933,Technology,2025-12-13 15:52:08,2025-12-13 15:52:08,
00QBLKH51zc8RYK4gp,david.king@outlook.com,David,King,Information Security Manager,"Smith, Garrison and Thomas",,Manager,Working,Enterprise Event,False,False,55,False,,(210)420-5395,Cybersecurity,2026-02-09 17:37:08,2026-05-15 03:00:00,
00QUIQnxCQQj9Ds5fZ,alicia.reese@williams-harmon.com,Alicia,Reese,Cyber Security Manager,Williams-Harmon,Security Management,Manager,Nurture,Direct Inbound,False,False,N/A,False,,975.289.1783x9084,Technology,2025-12-03 06:17:08,2026-05-15 03:00:00,
00QSbvgX5TFIuACXNl,ronald.rodriguez@lutzgroup.com,Ronald,Rodriguez,Information Security Director,lutz group,Security Leadership,Director,Nurture,Paid Search,False,False,71,False,,001-771-815-9212x499,Technology,2026-04-08 11:49:08,2026-05-15 03:00:00,
00QJXHwmhPE7tyyhvC,cory.miles@schmidtchavezandjacobs.com,Cory,Miles,,"Schmidt, Chavez and Jacobs",,Individual Contributor,Open,Direct Inbound,False,False,56,False,,+1-883-767-3657x6615,Technology,2026-03-30 11:30:08,2026-05-15 03:00:00,
00QFzixlNQO9IEitBd,thomas.davis@scottmckayandmcdaniel.com,Thomas,Davis,Security Analyst,"Scott, Mckay and Mcdaniel",Security Operations,Individual Contributor,Working,Direct Inbound,False,False,37,False,,716-315-2809,Cybersecurity,2026-01-25 06:52:08,2026-05-15 03:00:00,
00QfbVsrHkCUVIhhWZ,karen.parrish@gomez-ortega.com,Karen,Parrish,Director of Information Security,Gomez-Ortega,Security Leadership,Director,Working,Direct Inbound,False,False,67,False,,001-304-794-5198x3273,Technology,2026-03-28 10:42:08,2026-03-28 10:42:08,
00QvYB9WoYKvSNkimm,lindsay.bruce@partnerconsulting.com,Lindsay,Bruce,,"Richardso,n Farmer and Andrews",Partner / Channel,Manager,Open,Paid Search,True,False,38,False,,001-499-480-9402x44550,Finance,2026-01-18 22:45:08,2026-05-15 03:00:00,
00QW491h1pSZVPEJqz,teresa.davis@sandovaljonesandfigueroa.com,Teresa,Davis,Threat Intelligence Analyst,"Sandoval, Jones and Figueroa",Security Operations,,Open,Webinar,False,False,42,False,,436.467.5254x59910,Cybersecurity,2026-02-03 05:17:08,2026-05-15 03:00:00,
00Q0f8NR0Xy8ZEurHi,roger.lawson@williamsmillerandramos.com,Roger,Lawson,VP Cybersecurity,"Williams, Miller and Ramos",Security Executive,,Converted,Executive Dinner,False,False,94,True,003mQiOj5qOpx4kysR,(543)881-5614x97840,,2026-04-20 06:08:08,2026-05-15 03:00:00,2026-04-20 12:08:08
00QRaDioQaRY9AiexT,katrina.duran@brownharrisanddougherty.com,Katrina,Duran,,"Brown, Harris and Dougherty",Security Operations,,Working,Paid Search,False,False,,False,,751-307-6226x8388,,2025-12-08 16:33:08,2026-05-15 03:00:00,
00QOBSMjzQ1fgUKx7t,andrew.morse@outlook.com,Andrew,Morse,,Hensley-Williams,,,SQL,Direct Inbound,False,True,62,False,,796-396-6416x05297,Cybersecurity,2025-12-13 11:24:08,2026-05-15 03:00:00,2025-12-29 20:24:08
00Qsd37EgEKG895i1J,brianna.warren@richard-sanchez.com,Brianna,Warren,Information Security Manager,Richard-Sanchez,,Manager,Working,Paid Search,False,False,62,False,,,Cybersecurity,2026-05-20 18:47:08,2026-05-15 03:00:00,
00QSVAyNHjfe58juKV,jeffrey.maxwell@harrell-reese.com,Jeffrey,Maxwell,Threat Intelligence Analyst,harrell-reese,,,Working,Webinar,False,False,28,False,,,,2026-02-08 17:08:08,2026-05-15 03:00:00,
00QPOkaiaEvGYqxU2T,alyssa.lee@dixoninc.com,Alyssa,Lee,,Dixon Inc,Security Leadership,Director,Working,Enterprise Event,False,False,72,False,,001-955-923-1243x29212,Cybersecurity,2025-12-21 18:06:08,2026-05-15 03:00:00,
00QEJwpgJSoFc1pDxj,anne.reid@wolfcoleandglass.com,Anne,Reid,Security Analyst,"Wolf, Cole and Glass",,Individual Contributor,MQL,Webinar,False,False,38,False,,+1-755-327-1774x490,Cybersecurity,2026-03-10 11:45:08,2026-05-15 03:00:00,2026-03-12 20:45:08
00Q3lX87eCr0uIamIs,miguel.mitchell@murray-jhonson.com,Miguel,Mitchell,Cyber Security Analyst,Murray-Jhonson,,,Open,Webinar,False,False,31,False,,+1-719-998-6798x0793,Cybersecurity,2026-04-22 19:38:08,2026-05-15 03:00:00,
00Qv026aO0TgGoEd9S,rachel.cooper@competitorsec.com,Rachel,Cooper,,"Hernandez, Brown and Garcia",,Individual Contributor,Nurture,Webinar,True,False,8,False,,001-718-720-3778x892,Finance,2026-05-09 02:31:08,2026-05-09 02:31:08,
00QyKdPis05yZuCo6i,erika.williams@hughes-schroeder.com,Erika,Williams,Director of Information Security,Hughes-Schroeder,Security Leadership,Director,MQL,Cold Outreach,False,False,76,False,,+1-451-751-8644x9251,Cybersecurity,2026-04-07 06:18:08,2026-05-15 03:00:00,2026-04-21 10:18:08
00QYsRLn1jS8ydsYk7,april.williams@thompsonltd.com,April,Williams,SecOps Manager,Ponce-Hale,Security Management,,Nurture,Paid Search,False,False,88,False,,,,2026-04-04 16:25:08,2026-05-15 03:00:00,
00QNNKqYbd3Bh4ZucC,shannon.walton@partnerconsulting.com,Shannon,Walton,,Collins Group,Security Executive,VP,Working,Enterprise Event,False,False,73,False,,(481)568-5054,,2026-04-06 15:20:08,2026-05-15 03:00:00,
00QcMpszIdrim2GNXX,john.gonzales@partnerconsulting.com,John,Gonzales,Cyber Security Manager,Meza-Tucker,Security Management,Manager,Nurture,Paid Search,False,False,71,True,0033Wd9GV98gOqY4d9,441-888-8059,Cybersecurity,2026-05-24 09:59:08,2026-05-15 03:00:00,2026-05-30 20:37:08
00QXv00kKXR4bR6IIl,amber.taylor@mitchellnelsonandflores.com,Amber,Taylor,Information Security Director,Martin Ltd,Security Leadership,Director,Open,Webinar,False,True,57,False,,(970)565-3794,,2026-03-07 01:25:08,2026-05-15 03:00:00,
